Player,Pos,Squad,90s,Crs,Int,TklW,PlayerID,Crs_per90,Int_per90,TklW_per90
Boubacar Kamara,MF,Aston Villa,15.7,2,15,16,cc77354e,0.12738853503184713,0.9554140127388535,1.019108280254777
Michael Kayode,DF,Brentford,36.2,56,39,47,e19660a8,1.5469613259668507,1.0773480662983426,1.298342541436464
Michael Keane,DF,Everton,28.8,1,37,24,c5b7c315,0.034722222222222224,1.284722222222222,0.8333333333333333
Caoimhín Kelleher,GK,Brentford,37.0,0,1,0,62d7ef38,0.0,0.02702702702702703,0.0
Milos Kerkez,DF,Liverpool,25.1,79,15,26,0ad53bdc,3.147410358565737,0.597609561752988,1.0358565737051793
Kevin,MF,Fulham,11.6,43,9,10,93508980,3.706896551724138,0.7758620689655172,0.8620689655172414
Abdukodir Khusanov,DF,Manchester City,15.9,3,29,20,d17ce930,0.18867924528301885,1.8238993710691824,1.2578616352201257
Max Kilman,DF,West Ham,17.3,2,6,8,d0f72bf1,0.11560693641618497,0.3468208092485549,0.4624277456647399
Joshua King,MF,Fulham,14.5,12,3,12,86109b3b,0.8275862068965517,0.20689655172413793,0.8275862068965517
Antonín Kinský,GK,Tottenham,7.0,0,0,0,b38ac6a4,0.0,0.0,0.0
Justin Kluivert,MF,Bournemouth,10.6,40,4,7,4c3a6744,3.7735849056603774,0.37735849056603776,0.6603773584905661
Randal Kolo Muani,FWMF,Tottenham,18.5,18,2,16,c0b3669f,0.972972972972973,0.10810810810810811,0.8648648648648649
Ibrahima Konaté,DF,Liverpool,34.3,3,28,31,5ed9b537,0.08746355685131196,0.8163265306122449,0.9037900874635569
Ezri Konsa,DF,Aston Villa,33.7,5,22,8,0313a347,0.14836795252225518,0.6528189910979227,0.2373887240356083
Ladislav Krejčí,DFMF,Wolves,26.2,17,32,21,5b5c2228,0.648854961832061,1.2213740458015268,0.8015267175572519
Mohammed Kudus,MFFW,Tottenham,17.1,122,3,17,b62878a5,7.134502923976608,0.17543859649122806,0.9941520467836257
Maxence Lacroix,DF,Crystal Palace,34.3,5,45,38,277c49ed,0.1457725947521866,1.3119533527696794,1.1078717201166182
Senne Lammens,GK,Manchester Utd,32.0,0,0,1,8e6d2fcd,0.0,0.0,0.03125
Josh Laurent,DFMF,Burnley,19.6,14,28,25,f0068e0f,0.7142857142857142,1.4285714285714284,1.2755102040816326
Enzo Le Fée,MFFW,Sunderland,32.6,98,28,56,6f806d99,3.0061349693251533,0.8588957055214723,1.7177914110429446
Bernd Leno,GK,Fulham,38.0,0,1,1,2628fd2b,0.0,0.02631578947368421,0.02631578947368421
Jefferson Lerma,MFDF,Crystal Palace,19.3,12,25,18,9b5ce51a,0.6217616580310881,1.2953367875647668,0.9326424870466321
Keane Lewis-Potter,DFMF,Brentford,21.9,69,10,14,41f08ac8,3.1506849315068495,0.4566210045662101,0.6392694063926941
Myles Lewis-Skelly,MFDF,Arsenal,7.9,0,5,5,5dff6c28,0.0,0.6329113924050632,0.6329113924050632
Matthijs de Ligt,DF,Manchester Utd,13.0,4,11,13,d6e53a3a,0.3076923076923077,0.8461538461538461,1.0
Victor Lindelöf,DFMF,Aston Villa,10.5,0,8,3,f5deef4c,0.0,0.7619047619047619,0.2857142857142857
Tino Livramento,DF,Newcastle,14.8,36,2,14,afed6722,2.4324324324324325,0.13513513513513511,0.9459459459459459
Sean Longstaff,MF,Leeds United,11.2,54,12,24,a2b105e0,4.821428571428572,1.0714285714285714,2.142857142857143
Lucas,MFDF,Burnley,15.7,56,19,22,5d68f5b2,3.56687898089172,1.2101910828025477,1.4012738853503186
Florentino Luís,MF,Burnley,23.4,11,40,49,881cd6be,0.47008547008547014,1.7094017094017095,2.094017094017094
Douglas Luiz,MF,Aston Villa,6.7,28,7,11,6f7d826d,4.17910447761194,1.044776119402985,1.6417910447761193
Saša Lukić,MF,Fulham,19.3,68,16,28,c6e8cf1f,3.523316062176166,0.8290155440414507,1.450777202072539
Ian Maatsen,DF,Aston Villa,17.8,54,18,31,cab9634e,3.033707865168539,1.0112359550561798,1.7415730337078652
